S.No.,Platform,Platform Links,Past Status,Commited,Drafted,Published,Content Created,Platform Category,Primary Content Types
,Website,https://reddotevents.co/,Already in Place,--,--,--,,Digital Identity,
1,Website- blogs,,Not Active,50,10,,https://docs.google.com/document/d/13JSIXHTsARsDDTkbEegV3VN3vpvBaldHqa9XLQjTb1c/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
2,Website Downloadable,,Not Active,10,1,,https://docs.google.com/document/d/1wNXUmUtpAIFkJKSsigESAWQ3iyfiBaMO-upq6PHseRg/edit?usp=drive_link,Informational Content,"Infographics, Product related, knowledge articles"
3,Google Business,,Not Active,100,11,,https://docs.google.com/document/d/13CfHO2BSMQ-hIZ-Ix05vzKa6c02Cq1zoxN4TlquH7Sw/edit?usp=drive_link,Local Business,"Business Info, Reviews, Local Posts"
4,Linkedin,https://www.linkedin.com/company/red-dot-events-exhibitions-sp-llc/,Active,45,10,,https://docs.google.com/document/d/1nMDbcpbB0bQ90P8guHZE3iy6m827Jcve4DqV3uJYWFU/edit?usp=drive_link,Professional Network,"Articles, Company Updates, Industry News"
5,YouTube,,Not Active,5,1,,https://drive.google.com/drive/folders/1VjLK1PtsG1A4cdGsDmRWRdNkr3AJA2Md?usp=drive_link,Long-Form Video,"Long Videos, Tutorials, Vlogs"
6,Tiktok,,Not Active,10,1,,,Short-Form Video,"Short Videos, Challenges, Trends"
7,Instagram,https://www.instagram.com/reddot_event/,Active,180,45,,https://docs.google.com/document/d/1wbCr8wavITL10BnEAdURYDKzqgsIEbPnoyo6vjnD9co/edit?usp=drive_link,Visual Content,"Images, Stories, Reels, IGTV"
8,PinInterest,https://www.pinterest.com/reddoteventssocial/,Active,180,,1,https://docs.google.com/document/d/1qmdzoOdBIFu-ZKsmVfg85ugij4isTlN7rzeMRp3pFOU/edit?usp=drive_link,Visual Content,"Infographics, Product Images, Boards"
9,X (Twitter),https://x.com/EventsRedd60567,Active,180,10,1,https://docs.google.com/document/d/106-J7VxbGOcmcUYL32L4Wx9Cefk8FawMA0Vi9rbHITI/edit?usp=drive_link,Real-Time Social,"Real-time Updates, News, Discussions"
10,Facebook,https://www.facebook.com/people/Red-Dot-Events/61560412568254/,Active,180,10,,https://docs.google.com/document/d/1cw5TJhTsuIbNSEkMYGp6xrhHBTPQi6J1QNGKrE_97fU/edit?usp=drive_link,Social Community,"Mixed Content, Community Posts, Events"
11,Medium,https://medium.com/@reddotevents.social,Active,30,,2,https://docs.google.com/document/d/1zxVTTTxG3-M5NIQJwElBlmD9kusruLawBJHvpsc8a5E/edit?usp=drive_link,Professional Writing,"Long-form Articles, Thought Leadership"
12,Threads,via Instagram,Not Active,30,,,https://docs.google.com/document/d/16rUK1zYdRsW2OcvCpcxIHyYNfF2dPL9fVIvoUkm_pIw/edit?usp=drive_link,Micro-Blogging,"Short Posts, Real-time Updates"
13,Tumblr,https://www.tumblr.com/blog/reddotevents,Active,30,10,1,,,
